name,status,url,docs,src,kind,machine,K8s,description
charmlibs.pathops,recommended,https://pypi.org/project/charmlibs-pathops,https://canonical-charmlibs.readthedocs-hosted.com,https://github.com/canonical/charmtech-charmlibs,PyPI,y,y,Substrate agnostic file operations.
snap,recommended,https://charmhub.io/operator-libs-linux/libraries/snap,,https://github.com/canonical/operator-libs-linux,Charmhub,y,,Install and manage packages via snapd.
systemd,recommended,https://charmhub.io/operator-libs-linux/libraries/systemd,,https://github.com/canonical/operator-libs-linux,Charmhub,y,,
apt,recommended,https://charmhub.io/operator-libs-linux/libraries/apt,,https://github.com/canonical/operator-libs-linux,Charmhub,y,,
dnf,recommended,https://charmhub.io/operator-libs-linux/libraries/dnf,,https://github.com/canonical/operator-libs-linux,Charmhub,y,,
grub,recommended,https://charmhub.io/operator-libs-linux/libraries/grub,,https://github.com/canonical/operator-libs-linux,Charmhub,y,,
juju_systemd_notices,recommended,https://charmhub.io/operator-libs-linux/libraries/juju_systemd_notices,,https://github.com/canonical/operator-libs-linux,Charmhub,y,,
passwd,recommended,https://charmhub.io/operator-libs-linux/libraries/passwd,,https://github.com/canonical/operator-libs-linux,Charmhub,y,,
sysctl,recommended,https://charmhub.io/operator-libs-linux/libraries/sysctl,,https://github.com/canonical/operator-libs-linux,Charmhub,y,,
charmed-kubeflow-chisme,team,https://github.com/canonical/charmed-kubeflow-chisme,,,PyPI,,,Used internally by Charmed Kubeflow team.
hpc-libs,team,https://github.com/charmed-hpc/hpc-libs,,,git,,,Used internally by HPC charms.
charm-helpers,legacy,https://github.com/juju/charm-helpers,,,PyPI,,,Pre-ops library used by reactive charms.
cos-lib,dep,https://github.com/canonical/cos-lib,,,PyPI,,,Dependency (via PYDEPS) of charm libs (e.g. loki push api).
